Время (часы),Давление (атм)
0.0,100.0
0.5,100.0
1.0,100.0
1.5,100.0
2.0,100.0
2.5,100.0
3.0,100.0
3.5,100.0
4.0,100.0
4.5,100.0
5.0,100.0
5.5,110.0
6.0,120.0
6.5,130.0
7.0,140.0
7.5,100.0
8.0,100.0
8.5,100.0
9.0,100.0
9.5,100.0
10.0,100.0
10.5,100.0
11.0,100.0
11.5,100.0
12.0,100.0
12.5,100.0
13.0,100.0
13.5,100.0
14.0,100.0
14.5,100.0
15.0,140.0
15.5,130.0
16.0,120.0
16.5,110.0
17.0,100.0
17.5,100.0
18.0,100.0
18.5,100.0
19.0,100.0
19.5,100.0
20.0,100.0
20.5,100.0
21.0,100.0
21.5,100.0
22.0,100.0
22.5,100.0
23.0,100.0
23.5,100.0
24.0,100.0
24.5,100.0
25.0,100.0
25.5,100.0
26.0,100.0
26.5,100.0
27.0,100.0
27.5,100.0
28.0,100.0
28.5,100.0
29.0,100.0
29.5,100.0
30.0,100.0
